ID,FNAME,LNAME,AGE,SEX,EMAIL,ADDRESS
1,Lee,Dominguez,40,FEMALE,a@ut.ca,"P.O. Box 999, 5042 Magna Av."
2,Lenore,Copeland,46,MALE ,tortor.at@DonecnibhQuisque.com,4137 Arcu. Road
3,Blossom,Conrad,32,FEMALE,ut@Ut.ca,940-9320 Eget Rd.
4,Emi,Roth,40,MALE ,vel.nisl@Nuncmauris.edu,"1790 Et, St."
5,Robin,Washington,36,FEMALE,dictum.Proin.eget@idenim.com,Ap #971-6731 Dolor Avenue
6,Desiree,Pickett,49,FEMALE,non.luctus@vitae.co.uk,"Ap #244-2352 Montes, Rd."
7,Russell,Carlson,48,MALE ,pharetra.felis@auctornonfeugiat.ca,"771-564 Eu, Av."
8,Hakeem,Matthews,45,FEMALE,vel.convallis.in@Curabitur.com,"P.O. Box 397, 7437 Eget St."
9,Kyla,Justice,26,MALE ,lectus.quis.massa@malesuadafames.edu,247-9493 In Road
10,Elizabeth,Hammond,43,MALE ,orci@rhoncus.net,Ap #176-7447 Rutrum. Rd.
11,Kennedy,Lyons,43,MALE ,nec.tellus@sitamet.net,8689 Metus. Av.
12,Jada,Levine,44,MALE ,auctor.odio.a@Nunccommodo.co.uk,"P.O. Box 479, 5317 Suspendisse St."
13,Amir,Gilbert,27,FEMALE,magna.Ut.tincidunt@sagittis.co.uk,8640 Curabitur Rd.
14,Aristotle,Horne,30,FEMALE,Integer@nuncsit.co.uk,918-6520 Quisque Rd.
15,Adrienne,Stout,25,FEMALE,elit.Nulla@dictummagna.co.uk,"131-4710 Id, Rd."
16,Alexandra,Hunter,25,FEMALE,Ut@magnaSuspendissetristique.net,8485 Metus Av.
17,Carter,Potter,34,FEMALE,dictum.eleifend.nunc@aenim.ca,"P.O. Box 547, 3029 Neque. Rd."
18,Kaye,Burns,43,FEMALE,ac@quisarcu.edu,Ap #340-9798 Ut Rd.
19,Geraldine,Macias,42,FEMALE,Suspendisse@vitaesodales.ca,387-4078 Facilisis Street
20,Charity,Wilkerson,33,FEMALE,fermentum.fermentum@sedpedeCum.ca,8240 Nec Road
21,Keiko,Bean,37,FEMALE,Nullam.lobortis.quam@variuseteuismod.com,"P.O. Box 218, 6971 Ornare Street"
22,Gretchen,Terrell,37,MALE ,eu@sem.co.uk,Ap #769-8885 Viverra. Ave
23,Amelia,Ellison,36,MALE ,Mauris.magna@rutrum.edu,9682 At Rd.
24,Orson,Atkins,43,MALE ,justo.Proin@euismod.edu,"P.O. Box 790, 2816 Lacus. Ave"
25,Eric,Berry,27,MALE ,tristique.pharetra.Quisque@ornareIn.net,5479 Mus. St.
26,Talon,Reilly,45,MALE ,nec@pedeSuspendisse.edu,"P.O. Box 939, 3906 Nunc Avenue"
27,Eric,Mills,30,FEMALE,et@libero.net,Ap #353-6167 Ultrices Av.
28,Virginia,Marks,26,FEMALE,Cras.eget@Aliquamrutrum.edu,890-7129 Gravida Road
29,Jonas,Wong,36,MALE ,mattis@Fusce.com,8565 Sagittis Ave
30,Lee,Spence,25,MALE ,magna.Duis.dignissim@Quisque.net,8352 At Ave
31,Ruth,Patterson,32,FEMALE,metus.Aliquam.erat@mauris.edu,Ap #643-752 Quis Avenue
32,Kasper,Mueller,49,FEMALE,vel.mauris@ametfaucibusut.com,"4780 Erat, St."
33,Leo,Mccormick,31,MALE ,Morbi.neque.tellus@adipiscingfringillaporttitor.co.uk,"P.O. Box 836, 875 Nibh Rd."
34,Lois,Sanders,47,MALE ,tempor@nequeet.ca,271-9500 Dui Road
35,Heidi,Battle,34,FEMALE,pede@luctus.org,266-8103 Nisl. Road
36,Stella,Riddle,36,FEMALE,Proin@QuisquevariusNam.net,Ap #629-8833 Egestas. Road
37,Benedict,Nunez,22,MALE ,eu.odio@euismod.net,Ap #998-1379 Curabitur Street
38,Chloe,Francis,41,MALE ,nec.luctus.felis@iaculis.co.uk,"230-3090 Est, Rd."
39,Jeremy,Hopper,39,MALE ,condimentum@risusMorbimetus.net,9553 Luctus Av.
